Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1684195200000,2023-05-16,WAVESUSDT,1.591,1.627,1.568,1.609,1703037.44,2723838.63362,16139
1684108800000,2023-05-15,WAVESUSDT,1.549,1.618,1.521,1.59,1491384.15,2359691.77793,14726
1684022400000,2023-05-14,WAVESUSDT,1.531,1.563,1.5,1.549,1066006.04,1635417.32779,11134
1683936000000,2023-05-13,WAVESUSDT,1.575,1.578,1.515,1.53,1435886.12,2206382.44688,15115
1683849600000,2023-05-12,WAVESUSDT,1.551,1.67,1.492,1.574,6225993.59,9666675.98391,49874
1683763200000,2023-05-11,WAVESUSDT,1.635,1.641,1.501,1.551,2482032.23,3882423.68568,23358
1683676800000,2023-05-10,WAVESUSDT,1.605,1.652,1.534,1.635,3765050.04,6028160.03676,37325
1683590400000,2023-05-09,WAVESUSDT,1.603,1.622,1.581,1.606,1709644.96,2738683.69386,17323
1683504000000,2023-05-08,WAVESUSDT,1.805,1.825,1.562,1.604,3427903.29,5715554.62197,39741
1683417600000,2023-05-07,WAVESUSDT,1.801,1.83,1.788,1.806,1237819.35,2243128.4751,13022
1683331200000,2023-05-06,WAVESUSDT,1.885,1.9,1.775,1.8,1441749.18,2625930.49754,16328
1683244800000,2023-05-05,WAVESUSDT,1.866,1.9,1.83,1.885,1135727.84,2128983.50928,13577
1683158400000,2023-05-04,WAVESUSDT,1.909,1.916,1.847,1.864,1396396.4,2629971.61546,14221
1683072000000,2023-05-03,WAVESUSDT,1.858,1.912,1.832,1.91,3131713.43,5875332.31431,33499
1682985600000,2023-05-02,WAVESUSDT,1.848,1.872,1.812,1.857,2814387.04,5198237.5577,22487
1682899200000,2023-05-01,WAVESUSDT,1.886,1.899,1.815,1.848,1324137.33,2455846.01815,15017
1682812800000,2023-04-30,WAVESUSDT,1.934,1.94,1.871,1.885,1160172.72,2217888.48456,12480
1682726400000,2023-04-29,WAVESUSDT,1.917,1.947,1.905,1.934,895411.15,1727486.88762,10106
1682640000000,2023-04-28,WAVESUSDT,1.947,1.963,1.885,1.917,1393480.78,2680925.73378,16466
1682553600000,2023-04-27,WAVESUSDT,1.913,2.022,1.902,1.947,2501997.46,4881118.0102,30717
1682467200000,2023-04-26,WAVESUSDT,1.96,2.038,1.81,1.912,3899370.61,7545195.31749,37537
1682380800000,2023-04-25,WAVESUSDT,1.93,1.969,1.852,1.959,1925238.13,3658408.70256,22986
1682294400000,2023-04-24,WAVESUSDT,1.908,1.955,1.882,1.93,1623315.32,3112135.68431,17373
1682208000000,2023-04-23,WAVESUSDT,1.946,1.951,1.857,1.907,1660118.62,3167377.72379,15998
1682121600000,2023-04-22,WAVESUSDT,1.886,1.948,1.864,1.947,1198643.53,2288482.32903,10455
1682035200000,2023-04-21,WAVESUSDT,2.011,2.034,1.85,1.885,3201126.68,6245163.87861,26799
1681948800000,2023-04-20,WAVESUSDT,2.096,2.131,1.974,2.012,4266218.49,8749779.90328,36615
1681862400000,2023-04-19,WAVESUSDT,2.252,2.39,2.038,2.098,11915404.29,27015773.24031,100856
1681776000000,2023-04-18,WAVESUSDT,2.204,2.279,2.175,2.251,1752527.41,3927120.12885,16604
1681689600000,2023-04-17,WAVESUSDT,2.266,2.278,2.166,2.202,2278577.04,5046189.81228,18212
1681603200000,2023-04-16,WAVESUSDT,2.255,2.297,2.212,2.267,2259595.96,5107386.08319,19479
